Date,High,Low,Open,Close,Volume,Adj Close
2000-10-06,2.578125,2.34375,2.546875,2.4375,7776800.0,1.7660996913909912
2000-10-09,2.4296875,2.265625,2.4296875,2.265625,2759200.0,1.641567349433899
2000-10-10,2.375,2.25,2.25,2.296875,2257600.0,1.6642097234725952
2000-10-11,2.2890625,2.203125,2.2890625,2.21875,3709600.0,1.6076037883758545
2000-10-12,2.1875,2.0,2.1875,2.109375,4552000.0,1.5283558368682861
2000-10-13,2.15625,2.0625,2.078125,2.15625,1595200.0,1.562319278717041
2000-10-16,2.1875,2.140625,2.15625,2.1640625,1236800.0,1.5679799318313599
2000-10-17,2.328125,2.15625,2.15625,2.296875,620000.0,1.6642097234725952
2000-10-18,2.296875,2.171875,2.28125,2.1796875,1392000.0,1.5793004035949707
2000-10-19,2.203125,2.125,2.1953125,2.1328125,1219200.0,1.5453379154205322
2000-10-20,2.1484375,2.109375,2.1484375,2.125,1064800.0,1.5396772623062134
2000-10-23,2.125,2.09375,2.125,2.09375,1488800.0,1.5170344114303589
2000-10-24,2.1875,2.1171875,2.125,2.1875,533600.0,1.5849616527557373
2000-10-25,2.34375,2.171875,2.1875,2.28125,1664000.0,1.6528884172439575
2000-10-26,2.265625,2.203125,2.265625,2.265625,338400.0,1.641567349433899
2000-10-27,2.453125,2.2734375,2.2890625,2.4375,400000.0,1.7660996913909912
2000-10-30,2.6875,2.40625,2.4140625,2.6875,741600.0,1.9472384452819824
2000-10-31,3.03125,2.8125,2.8125,2.921875,3561600.0,2.117055654525757
2000-11-01,2.9296875,2.796875,2.890625,2.8984375,2935200.0,2.100074052810669
2000-11-02,3.015625,2.890625,2.9140625,2.984375,914400.0,2.1623406410217285
2000-11-03,3.15625,2.875,2.953125,3.15625,2640800.0,2.2868733406066895
2000-11-06,3.15625,3.0,3.15625,3.0078125,677600.0,2.179321765899658
2000-11-07,3.0,2.890625,3.0,2.96875,866400.0,2.1510188579559326
2000-11-08,3.0,2.703125,2.78125,3.0,2896000.0,2.173661470413208
2000-11-09,3.03125,2.921875,3.0,2.9921875,1449600.0,2.1680006980895996
2000-11-10,3.125,2.984375,2.984375,3.09375,368000.0,2.241588592529297
2000-11-13,3.0625,2.75,3.0625,2.765625,726400.0,2.0038437843322754
2000-11-14,2.84375,2.65625,2.75,2.84375,1000800.0,2.0604500770568848
2000-11-15,2.90625,2.8046875,2.859375,2.875,736800.0,2.0830917358398438
2000-11-16,2.875,2.859375,2.859375,2.8671875,72800.0,2.0774314403533936
2000-11-17,2.921875,2.8515625,2.890625,2.921875,272800.0,2.117055654525757
2000-11-20,2.90625,2.75,2.90625,2.84375,264800.0,2.0604500770568848
2000-11-21,2.84375,2.8203125,2.8359375,2.828125,712800.0,2.0491294860839844
2000-11-22,2.875,2.8125,2.84375,2.875,404000.0,2.0830917358398438
2000-11-24,2.875,2.8671875,2.875,2.875,242400.0,2.0830917358398438
2000-11-27,2.9765625,2.875,2.90625,2.96875,833600.0,2.1510188579559326
2000-11-28,3.0234375,2.9375,2.9453125,2.9375,1260800.0,2.1283769607543945
2000-11-29,2.90625,2.75,2.90625,2.78125,128000.0,2.015165328979492
2000-11-30,2.765625,2.71875,2.75,2.765625,688000.0,2.0038437843322754
2000-12-01,2.75,2.6875,2.734375,2.75,416800.0,1.9925223588943481
2000-12-04,2.890625,2.734375,2.734375,2.890625,1025600.0,2.0944135189056396
2000-12-05,2.890625,2.78125,2.890625,2.78125,1095200.0,2.015165328979492
2000-12-06,2.8984375,2.765625,2.765625,2.8828125,408800.0,2.088752508163452
2000-12-07,3.0625,2.9140625,2.9140625,3.0,440000.0,2.173661470413208
2000-12-08,3.21875,3.0078125,3.03125,3.171875,424800.0,2.298194169998169
2000-12-11,3.25,3.15625,3.171875,3.2265625,264800.0,2.3378190994262695
2000-12-12,3.21875,3.109375,3.1640625,3.1171875,470400.0,2.2585692405700684
2000-12-13,3.1015625,3.0,3.1015625,3.0,324000.0,2.173661470413208
2000-12-14,3.0,2.515625,3.0,2.6328125,1654400.0,1.9076144695281982
2000-12-15,2.640625,2.625,2.640625,2.6328125,32800.0,1.9076144695281982
2000-12-18,2.6640625,2.515625,2.65625,2.578125,369600.0,1.867990493774414
2000-12-19,2.59375,2.546875,2.5703125,2.59375,316800.0,1.8793118000030518
2000-12-20,2.5859375,2.515625,2.5859375,2.53125,838400.0,1.8340275287628174
2000-12-21,2.625,2.53125,2.546875,2.625,652000.0,1.9019540548324585
2000-12-22,2.8125,2.625,2.625,2.796875,232000.0,2.02648663520813
2000-12-26,3.0,2.8046875,2.8046875,2.9375,272000.0,2.1283769607543945
2000-12-27,3.125,3.0,3.0,3.125,406400.0,2.2642300128936768
2000-12-28,3.578125,3.125,3.125,3.53125,1199200.0,2.5585808753967285
2000-12-29,3.671875,3.53125,3.53125,3.59375,590400.0,2.603865623474121
2001-01-02,3.625,3.25,3.578125,3.265625,1202400.0,2.3661205768585205
2001-01-03,3.28125,3.21875,3.25,3.2578125,487200.0,2.360460042953491
2001-01-04,3.25,3.1171875,3.25,3.125,1032000.0,2.2642300128936768
2001-01-05,3.125,3.046875,3.109375,3.046875,274400.0,2.2076256275177
2001-01-08,3.03125,2.75,3.03125,2.8046875,480000.0,2.0321476459503174
2001-01-09,2.953125,2.8515625,2.875,2.90625,709600.0,2.1057345867156982
2001-01-10,3.296875,3.109375,3.15625,3.140625,2014400.0,2.2755520343780518
2001-01-11,3.421875,3.15625,3.15625,3.40625,760000.0,2.4680123329162598
2001-01-12,3.4375,3.328125,3.375,3.328125,578400.0,2.4114062786102295
2001-01-16,3.59375,3.296875,3.296875,3.5546875,269600.0,2.575561285018921
2001-01-17,3.8125,3.53125,3.5546875,3.625,1263200.0,2.626507520675659
2001-01-18,3.7734375,3.625,3.625,3.75,450400.0,2.7170767784118652
2001-01-19,3.8125,3.75,3.8125,3.796875,424800.0,2.7510406970977783
2001-01-22,3.953125,3.8046875,3.8046875,3.875,2515200.0,2.8076460361480713
2001-01-23,4.0625,3.859375,4.0,3.875,2376000.0,2.8076460361480713
2001-01-24,3.8671875,3.71875,3.8671875,3.84375,4156800.0,2.785003662109375
2001-01-25,3.84375,3.765625,3.8359375,3.78125,5560000.0,2.7397196292877197
2001-01-26,3.8125,3.78125,3.78125,3.8125,2942400.0,2.762361526489258
2001-01-29,3.934999942779541,3.8137500286102295,3.827500104904175,3.872499942779541,936800.0,2.805835008621216
2001-01-30,3.950000047683716,3.8687500953674316,3.872499942779541,3.918750047683716,1567200.0,2.8393449783325195
2001-01-31,4.25,3.950000047683716,3.950000047683716,4.21875,3824800.0,3.0567116737365723
2001-02-01,4.537499904632568,4.212500095367432,4.224999904632568,4.453750133514404,2373600.0,3.2269818782806396
2001-02-02,4.800000190734863,4.481249809265137,4.550000190734863,4.5,3716800.0,3.2604920864105225
2001-02-05,4.5,4.352499961853027,4.487500190734863,4.397500038146973,2656800.0,3.186225414276123
2001-02-06,4.400000095367432,4.25,4.375,4.264999866485596,3628000.0,3.0902228355407715
2001-02-07,4.525000095367432,4.25,4.25,4.28125,1839200.0,3.101996660232544
2001-02-08,4.293749809265137,4.1875,4.28000020980835,4.224999904632568,2738400.0,3.0612404346466064
2001-02-09,4.262499809265137,4.191249847412109,4.237500190734863,4.21875,856000.0,3.0567116737365723
2001-02-12,4.21875,4.068749904632568,4.21875,4.099999904632568,436800.0,2.9706709384918213
